institute,quota,category,closing_rank,candidates_seen,state
ACS Medical College and Hospital,AIQ,EWS,23450,2,Tamil Nadu
ACS Medical College and Hospital,AIQ,General,25020,81,Tamil Nadu
ACS Medical College and Hospital,AIQ,OBC,25019,102,Tamil Nadu
ACS Medical College and Hospital,AIQ,SC,25011,16,Tamil Nadu
ACS Medical College and Hospital,AIQ,ST,24633,2,Tamil Nadu
ACSR Govt Medical College,AIQ,EWS,8280,3,Andhra Pradesh
ACSR Govt Medical College,AIQ,General,25948,9,Andhra Pradesh
ACSR Govt Medical College,AIQ,OBC,7993,8,Andhra Pradesh
ACSR Govt Medical College,AIQ,SC,12034,2,Andhra Pradesh
ACSR Govt Medical College,AIQ,ST,12627,2,Andhra Pradesh
AGARTALA GOVT. MEDICAL COLLEGE,AIQ,EWS,8790,2,Tripura
AGARTALA GOVT. MEDICAL COLLEGE,AIQ,General,26093,7,Tripura
AGARTALA GOVT. MEDICAL COLLEGE,AIQ,OBC,8568,7,Tripura
AGARTALA GOVT. MEDICAL COLLEGE,AIQ,SC,12134,3,Tripura
AGARTALA GOVT. MEDICAL COLLEGE,AIQ,ST,13676,2,Tripura
AIIMS,AIQ,EWS,4379,156,Uttar Pradesh
AIIMS,AIQ,General,23922,519,Uttar Pradesh
AIIMS,AIQ,OBC,3925,446,Uttar Pradesh
AIIMS,AIQ,SC,9826,209,Uttar Pradesh
AIIMS,AIQ,ST,11305,106,Uttar Pradesh
AIIMS Bathinda,AIQ,EWS,3042,10,Punjab
AIIMS Bathinda,AIQ,General,23597,38,Punjab
AIIMS Bathinda,AIQ,OBC,2409,29,Punjab
AIIMS Bathinda,AIQ,SC,8117,14,Punjab
AIIMS Bathinda,AIQ,ST,10429,6,Punjab
AIIMS Bilaspur Changar Palasiyan,AIQ,EWS,3299,10,Himachal Pradesh
AIIMS Bilaspur Changar Palasiyan,AIQ,General,18785,32,Himachal Pradesh
AIIMS Bilaspur Changar Palasiyan,AIQ,OBC,2826,30,Himachal Pradesh
AIIMS Bilaspur Changar Palasiyan,AIQ,SC,9191,14,Himachal Pradesh
AIIMS Bilaspur Changar Palasiyan,AIQ,ST,10631,7,Himachal Pradesh
AIIMS Guwahati,AIQ,EWS,3874,10,Assam
AIIMS Guwahati,AIQ,General,21531,41,Assam
AIIMS Guwahati,AIQ,OBC,3561,24,Assam
AIIMS Guwahati,AIQ,SC,9491,14,Assam
AIIMS Guwahati,AIQ,ST,11111,7,Assam
AIIMS Jammu,AIQ,EWS,3949,9,Jammu and Kashmir
AIIMS Jammu,AIQ,General,21427,41,Jammu and Kashmir
AIIMS Jammu,AIQ,OBC,3626,25,Jammu and Kashmir
AIIMS Jammu,AIQ,SC,9715,14,Jammu and Kashmir
AIIMS Jammu,AIQ,ST,10406,6,Jammu and Kashmir
AIIMS Mangalagiri,AIQ,EWS,2866,12,Andhra Pradesh
AIIMS Mangalagiri,AIQ,General,18745,46,Andhra Pradesh
AIIMS Mangalagiri,AIQ,OBC,2783,34,Andhra Pradesh
AIIMS Mangalagiri,AIQ,SC,9054,16,Andhra Pradesh
AIIMS Mangalagiri,AIQ,ST,10461,8,Andhra Pradesh
AIIMS Rajkot,AIQ,EWS,2298,6,Gujarat
AIIMS Rajkot,AIQ,General,16170,19,Gujarat
AIIMS Rajkot,AIQ,OBC,2674,12,Gujarat
AIIMS Rajkot,AIQ,SC,9142,6,Gujarat
AIIMS Rajkot,AIQ,ST,10083,4,Gujarat
AIIMS-Bhopal,AIQ,EWS,993,17,Madhya Pradesh
AIIMS-Bhopal,AIQ,General,19211,41,Madhya Pradesh
AIIMS-Bhopal,AIQ,OBC,974,38,Madhya Pradesh
AIIMS-Bhopal,AIQ,SC,4238,17,Madhya Pradesh
AIIMS-Bhopal,AIQ,ST,7742,9,Madhya Pradesh
ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,AIQ,EWS,6973,4,Bihar
ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,AIQ,General,21368,6,Bihar
ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,AIQ,OBC,6260,5,Bihar
ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,AIQ,SC,11684,2,Bihar
ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,AIQ,ST,12604,1,Bihar
ASSAM MEDICAL COLLEGE,AIQ,EWS,7886,2,Assam
ASSAM MEDICAL COLLEGE,AIQ,General,6513,10,Assam
ASSAM MEDICAL COLLEGE,AIQ,OBC,7565,9,Assam
ASSAM MEDICAL COLLEGE,AIQ,SC,12064,4,Assam
ASSAM MEDICAL COLLEGE,AIQ,ST,12548,2,Assam
ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE,AIQ,EWS,6357,5,Madhya Pradesh
ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE,AIQ,General,4656,3,Madhya Pradesh
ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE,AIQ,OBC,5859,12,Madhya Pradesh
ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE,AIQ,SC,11462,4,Madhya Pradesh
ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE,AIQ,ST,11543,2,Madhya Pradesh
Aarupadai Veedu Medical College and Hospt.,AIQ,EWS,24819,2,Puducherry
Aarupadai Veedu Medical College and Hospt.,AIQ,General,25114,64,Puducherry
Aarupadai Veedu Medical College and Hospt.,AIQ,OBC,25124,61,Puducherry
Aarupadai Veedu Medical College and Hospt.,AIQ,SC,25105,15,Puducherry
Aarupadai Veedu Medical College and Hospt.,AIQ,ST,25004,3,Puducherry
Allotted( CW Rank : 1 ),AIQ,General,19119,1,
Allotted( CW Rank : 10 ),AIQ,General,13314,1,
Allotted( CW Rank : 105 ),AIQ,General,14898,1,
Allotted( CW Rank : 11 ),AIQ,General,15742,1,
Allotted( CW Rank : 12 ),AIQ,General,15972,1,
Allotted( CW Rank : 13 ),AIQ,General,17179,1,
Allotted( CW Rank : 14 ),AIQ,General,20345,1,
Allotted( CW Rank : 15 ),AIQ,General,25816,1,
Allotted( CW Rank : 16 ),AIQ,General,13297,1,
Allotted( CW Rank : 168 ),AIQ,General,15108,1,
Allotted( CW Rank : 17 ),AIQ,General,11146,1,
Allotted( CW Rank : 175 ),AIQ,General,18899,1,
Allotted( CW Rank : 18 ),AIQ,General,13687,1,
Allotted( CW Rank : 19 ),AIQ,General,14703,1,
Allotted( CW Rank : 2 ),AIQ,General,25921,1,
Allotted( CW Rank : 22 ),AIQ,General,16961,1,
Allotted( CW Rank : 23 ),AIQ,General,18774,1,
Allotted( CW Rank : 24 ),AIQ,General,12970,1,
Allotted( CW Rank : 28 ),AIQ,General,21124,1,
Allotted( CW Rank : 29 ),AIQ,General,21250,1,
Allotted( CW Rank : 3 ),AIQ,General,12891,1,
Allotted( CW Rank : 30 ),AIQ,General,21674,1,
Allotted( CW Rank : 4 ),AIQ,General,16610,1,
Allotted( CW Rank : 45 ),AIQ,General,4621,1,
Allotted( CW Rank : 5 ),AIQ,General,19281,1,
Allotted( CW Rank : 50 ),AIQ,General,6389,1,
Allotted( CW Rank : 53 ),AIQ,General,7151,1,
Allotted( CW Rank : 59 ),AIQ,General,8228,1,
Allotted( CW Rank : 8 ),AIQ,General,11939,1,
Allotted( CW Rank : 81 ),AIQ,General,11495,1,
Allotted( CW Rank : 86 ),AIQ,General,12108,1,
Allotted( CW Rank : 9 ),AIQ,General,12406,1,
Amrita Institute of Medical Science,AIQ,General,25181,114,Kerala
Amrita Institute of Medical Science,AIQ,OBC,16892,26,Kerala
Amrita Institute of Medical Science,AIQ,SC,15598,2,Kerala
Amrita Institute of Medical Science,AIQ,ST,20615,1,Kerala
Amrita School of Medicine Faridabad,AIQ,EWS,13940,1,Haryana
Amrita School of Medicine Faridabad,AIQ,General,25642,124,Haryana
Amrita School of Medicine Faridabad,AIQ,OBC,26105,12,Haryana
Amrita School of Medicine Faridabad,AIQ,ST,15024,1,Haryana
Andaman and Nicobar Islands Institute of Medical S,AIQ,EWS,9011,2,Andaman and Nicobar Islands
Andaman and Nicobar Islands Institute of Medical S,AIQ,General,23936,4,Andaman and Nicobar Islands
Andaman and Nicobar Islands Institute of Medical S,AIQ,OBC,8233,8,Andaman and Nicobar Islands
Andaman and Nicobar Islands Institute of Medical S,AIQ,SC,12446,2,Andaman and Nicobar Islands
Andaman and Nicobar Islands Institute of Medical S,AIQ,ST,12847,1,Andaman and Nicobar Islands
Andhra Medical College,AIQ,EWS,5159,5,Andhra Pradesh
Andhra Medical College,AIQ,General,22334,10,Andhra Pradesh
Andhra Medical College,AIQ,OBC,4456,12,Andhra Pradesh
Andhra Medical College,AIQ,SC,10379,4,Andhra Pradesh
Andhra Medical College,AIQ,ST,11828,3,Andhra Pradesh
Atal Bihari Vajpayee Institute of Medical Sciences & DR RML HOSPITAL,AIQ,EWS,4280,10,Bihar
Atal Bihari Vajpayee Institute of Medical Sciences & DR RML HOSPITAL,AIQ,General,2016,37,Bihar
Atal Bihari Vajpayee Institute of Medical Sciences & DR RML HOSPITAL,AIQ,OBC,4754,25,Bihar
Atal Bihari Vajpayee Institute of Medical Sciences & DR RML HOSPITAL,AIQ,SC,10862,12,Bihar
Atal Bihari Vajpayee Institute of Medical Sciences & DR RML HOSPITAL,AIQ,ST,14724,7,Bihar
Autonomous State Medical Collage,AIQ,EWS,7632,3,Uttar Pradesh
Autonomous State Medical Collage,AIQ,General,6696,2,Uttar Pradesh
Autonomous State Medical Collage,AIQ,OBC,7382,7,Uttar Pradesh
Autonomous State Medical Collage,AIQ,SC,12202,2,Uttar Pradesh
Autonomous State Medical Collage,AIQ,ST,13144,1,Uttar Pradesh
Autonomous State Medical College,AIQ,EWS,8132,9,Uttar Pradesh
Autonomous State Medical College,AIQ,General,25250,49,Uttar Pradesh
Autonomous State Medical College,AIQ,OBC,7826,32,Uttar Pradesh
Autonomous State Medical College,AIQ,SC,12397,15,Uttar Pradesh
Autonomous State Medical College,AIQ,ST,13712,7,Uttar Pradesh
Autonomous State Medical College Society,AIQ,EWS,7436,2,Uttar Pradesh
Autonomous State Medical College Society,AIQ,General,6903,3,Uttar Pradesh
Autonomous State Medical College Society,AIQ,OBC,7569,6,Uttar Pradesh
Autonomous State Medical College Society,AIQ,SC,12277,2,Uttar Pradesh
Autonomous State Medical College Society,AIQ,ST,12983,2,Uttar Pradesh
Autonomous State Medical college Society Hardoi,AIQ,EWS,7409,2,Uttar Pradesh
Autonomous State Medical college Society Hardoi,AIQ,General,6671,3,Uttar Pradesh
Autonomous State Medical college Society Hardoi,AIQ,OBC,7084,5,Uttar Pradesh
Autonomous State Medical college Society Hardoi,AIQ,SC,12246,3,Uttar Pradesh
Autonomous State Medical college Society Hardoi,AIQ,ST,13374,1,Uttar Pradesh
B.J. Government Medical College,AIQ,EWS,3934,4,Maharashtra
B.J. Government Medical College,AIQ,General,17582,15,Maharashtra
B.J. Government Medical College,AIQ,OBC,3644,10,Maharashtra
B.J. Government Medical College,AIQ,SC,9573,5,Maharashtra
B.J. Government Medical College,AIQ,ST,11753,3,Maharashtra
B.J. MEDICAL COLLEGE,AIQ,EWS,2171,4,Gujarat
B.J. MEDICAL COLLEGE,AIQ,General,18965,13,Gujarat
B.J. MEDICAL COLLEGE,AIQ,OBC,1981,11,Gujarat
B.J. MEDICAL COLLEGE,AIQ,SC,7328,5,Gujarat
B.J. MEDICAL COLLEGE,AIQ,ST,10292,3,Gujarat
B.L.D.E University,AIQ,EWS,16738,12,Karnataka
B.L.D.E University,AIQ,General,25586,117,Karnataka
B.L.D.E University,AIQ,OBC,26069,37,Karnataka
B.L.D.E University,AIQ,SC,16440,5,Karnataka
B.R.D. MEDICAL COLLEGE,AIQ,EWS,4371,1,Uttar Pradesh
B.R.D. MEDICAL COLLEGE,AIQ,General,4231,8,Uttar Pradesh
B.R.D. MEDICAL COLLEGE,AIQ,OBC,4678,7,Uttar Pradesh
B.R.D. MEDICAL COLLEGE,AIQ,SC,10787,3,Uttar Pradesh
B.R.D. MEDICAL COLLEGE,AIQ,ST,12175,1,Uttar Pradesh
B.Sc. Nursing,AIQ,EWS,15425,55,
B.Sc. Nursing,AIQ,General,14261,82,
B.Sc. Nursing,AIQ,OBC,15502,213,
B.Sc. Nursing,AIQ,SC,18424,70,
B.Sc. Nursing,AIQ,ST,22774,28,
BANKURA SAMMILANI MED COLL,AIQ,EWS,6907,4,West Bengal
BANKURA SAMMILANI MED COLL,AIQ,General,23126,10,West Bengal
BANKURA SAMMILANI MED COLL,AIQ,OBC,6952,8,West Bengal
BANKURA SAMMILANI MED COLL,AIQ,SC,11606,5,West Bengal
BANKURA SAMMILANI MED COLL,AIQ,ST,13340,3,West Bengal
BELGAUM INST. OF MEDICAL SCI.,AIQ,EWS,6663,2,Karnataka
