institute,quota,category,closing_rank,candidates_seen,state
ACS Medical College and Hospital,AIQ,General,734672,26,Tamil Nadu
ACSR Govt Medical College,AIQ,General,1021236,7,Andhra Pradesh
AGARTALA GOVT. MEDICAL COLLEGE,AIQ,General,27007,1,Tripura
AIIMS,AIQ,General,61580,76,Uttar Pradesh
AIIMS Bathinda,AIQ,General,2482,1,Punjab
AIIMS Bilaspur Changar Palasiyan,AIQ,General,30304,4,Himachal Pradesh
AIIMS Guwahati,AIQ,General,31499,9,Assam
AIIMS Jammu,AIQ,General,51471,10,Jammu and Kashmir
AIIMS Rajkot,AIQ,General,53569,4,Gujarat
ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,AIQ,General,119132,7,Bihar
ASSAM MEDICAL COLLEGE,AIQ,General,119562,7,Assam
ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE,AIQ,General,749341,19,Madhya Pradesh
Aarupadai Veedu Medical College and Hospt.,AIQ,General,755831,15,Puducherry
Amrita School of Medicine Faridabad,AIQ,General,363996,9,Haryana
Andaman and Nicobar Islands Institute of Medical S,AIQ,General,24492,1,Andaman and Nicobar Islands
Andhra Medical College,AIQ,General,7539,3,
Atal Bihari Vajpayee Institute of Medical Sciences & DR RML HOSPITAL,AIQ,General,149223,4,Bihar
Autonomous State Medical Collage,AIQ,General,109637,7,Uttar Pradesh
Autonomous State Medical College,AIQ,General,499745,73,Uttar Pradesh
Autonomous State Medical College Society,AIQ,General,19879,4,Uttar Pradesh
Autonomous State Medical college Society Hardoi,AIQ,General,106101,8,Uttar Pradesh
Autonomous state Medical College,AIQ,General,1190424,11,
B.J. Government Medical College,AIQ,General,105614,8,Maharashtra
B.J. MEDICAL COLLEGE,AIQ,General,73018,5,Gujarat
B.L.D.E University,AIQ,General,302710,27,Karnataka
B.R.D. MEDICAL COLLEGE,AIQ,General,104924,16,
B.Sc. Nursing,AIQ,General,627606,16,
BANKURA SAMMILANI MED COLL,AIQ,General,140230,7,West Bengal
BELGAUM INST. OF MEDICAL SCI.,AIQ,General,122194,8,Karnataka
BHAARATH MEDICAL COLLEGE AND HOSPITAL,AIQ,General,820797,12,Tamil Nadu
BIDAR INSTITUTE OF MEDICAL SCI.,AIQ,General,138880,10,Karnataka
BPS Govt. Med. College,AIQ,General,122410,3,Haryana
BUNDELKHAND MEDICAL COLLEGE,AIQ,General,105466,8,
BURDWAN MEDICAL COLLEGE,AIQ,General,999414,8,West Bengal
BV Deemed Uni. Med. College and Hos.,AIQ,General,664912,20,Maharashtra
Baba Kinaram Autonomous State Medical College,AIQ,General,114454,7,Uttar Pradesh
Bangalore Medical College and Research Institute,AIQ,General,42980,2,Karnataka
Barasat Government Medical College & Hospital,AIQ,General,122842,6,West Bengal
Bharati Vidyapeeth DU Medical College,AIQ,General,592172,9,Maharashtra
C. Institute of Medical Sciences,AIQ,General,26879,7,Karnataka
CALCUTTA NATIONAL MED COLL,AIQ,General,117345,11,West Bengal
CHENGALPATTU MEDICAL COLL,AIQ,General,145518,8,Tamil Nadu
CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,AIQ,General,91700,6,Chhattisgarh
CHIKKABALLAPURA INSTITUTE OF MEDICAL SCIENCES,AIQ,General,130768,3,Karnataka
COIMBATORE MEDICAL COLLEGE,AIQ,General,142895,11,Tamil Nadu
COLLEGE OF MEDICINE and JNM HOSPITAL,AIQ,General,129596,11,
Chandulal Chandrakar Memorial Government Medical College,AIQ,General,138082,14,Chhattisgarh
Chettinad Hos. and Res. Inst.,AIQ,General,766810,18,
Chhindwara Institute of Medical Sciences,AIQ,General,116688,11,
Chikkamagaluru Institute of Medical Sciences,AIQ,General,150485,13,Karnataka
Chitradurga Medical College and Research Institute,AIQ,General,24884,6,Karnataka
College Government Medical College Alwar,AIQ,General,91240,3,Rajasthan
DATTA MEGHE MEDICAL COLLEGE WANADONGRI HINGNA NAGPUR,AIQ,General,638084,24,Maharashtra
DR. VAISHAMPAYAM MEMORIAL M.C.,AIQ,General,108671,14,Maharashtra
DR.RAJENDRA PRASAD MC,AIQ,General,8273,1,
DR.S.C.GOVT MEDICAL COLLEGE,AIQ,General,144418,5,Maharashtra
DR.S.N. MEDICAL COLLEGE,AIQ,General,74989,5,Rajasthan
DY Patil University School of Medicine,AIQ,General,661567,8,
Darbhanga Medical College,AIQ,General,119066,2,Bihar
Deben Mahata Government Medical College & Hospital,AIQ,General,148191,4,
Diamond Harbour Govt Medical College,AIQ,General,139466,7,
Did not fill up fresh choices.,AIQ,General,1315471,10699,
Did not opt for Upgradation.,AIQ,General,1315566,12721,
Dr Ram Manohar Lohia Inst. of Med. Sce.,AIQ,General,42380,8,Uttar Pradesh
Dr. B.R. Ambedkar State Institute of Medical Sciences,AIQ,General,17802,7,Punjab
Dr. B.S.A. Medical College,AIQ,General,49964,3,Delhi
Dr. DY Patil Medical College,AIQ,General,529224,11,Maharashtra
Dr. DY Patil Medical College and Hospt.,AIQ,General,518398,21,Maharashtra
Dr. DYP Edu. Soc. Deemed Uni.,AIQ,General,553148,14,Maharashtra
Dr. YS Parmar Govt. Medical College,AIQ,General,112774,8,Himachal Pradesh
Dr.Radhakrishnan Government Medical College,AIQ,General,695650,9,
ESI-MC&PGIMS&R,AIQ,General,468396,18,Karnataka
ESIC,AIQ,General,430839,19,
ESIC MEDICAL COLLEGE & HOSPITAL,AIQ,General,538009,9,
ESIC MEDICAL COLLEGE AND HOSPITAL,AIQ,General,686197,30,Delhi
ESIC MEDICAL COLLEGE NARODA,AIQ,General,463423,20,
ESIC Medical College,AIQ,General,505423,52,Telangana
ESIC Medical College & Hospital,AIQ,General,530778,25,Bihar
ESIC Medical College AND PGIMSR,AIQ,General,201923,5,
ESIC Medical College and Hospital,AIQ,General,451088,12,
ESIC Medical College and Hospital Varanasi,AIQ,General,954114,10,
ESIC PGIMSR,AIQ,General,108358,8,
Employees State Insurance Corporation Medical College,AIQ,General,146901,15,Rajasthan
Fakhruddin Ali Ahmed Medical College,AIQ,General,25558,5,Assam
