StateName,InstituteType,Institute,Quota,Branch,Category,TotalSeats,SeatGender
Seat Matrix for Round 1 NEET UG MBBS BDS & BSc Nursing,,,,,,,
Andaman And Nicobar Islands,All India except Central University,"Andaman & Nicobar Islands Institute of Medical Sciences, Port Blair, Director ANIIMS, DHS Annexe Building, Atlanta Point, Port Blair-744104 (200101)",All India,MBBS (MBBS),BC NO,5,Both
Andaman And Nicobar Islands,All India except Central University,"Andaman & Nicobar Islands Institute of Medical Sciences, Port Blair, Director ANIIMS, DHS Annexe Building, Atlanta Point, Port Blair-744104 (200101)",All India,MBBS (MBBS),EW NO,2,Both
Andaman And Nicobar Islands,All India except Central University,"Andaman & Nicobar Islands Institute of Medical Sciences, Port Blair, Director ANIIMS, DHS Annexe Building, Atlanta Point, Port Blair-744104 (200101)",All India,MBBS (MBBS),OP NO,6,Both
Andaman And Nicobar Islands,All India except Central University,"Andaman & Nicobar Islands Institute of Medical Sciences, Port Blair, Director ANIIMS, DHS Annexe Building, Atlanta Point, Port Blair-744104 (200101)",All India,MBBS (MBBS),SC NO,3,Both
Andaman And Nicobar Islands,All India except Central University,"Andaman & Nicobar Islands Institute of Medical Sciences, Port Blair, Director ANIIMS, DHS Annexe Building, Atlanta Point, Port Blair-744104 (200101)",All India,MBBS (MBBS),ST NO,1,Both
Andhra Pradesh,All India except Central University,"ACSR Government Medical College, OPP. TO AC SUBBA REDDY STADIUM DARGAMITTA NELLORE SPSR NELLORE DISTRICT, ANDHRA PRADESH (200446)",All India,MBBS (MBBS),BC NO,7,Both
Andhra Pradesh,All India except Central University,"ACSR Government Medical College, OPP. TO AC SUBBA REDDY STADIUM DARGAMITTA NELLORE SPSR NELLORE DISTRICT, ANDHRA PRADESH (200446)",All India,MBBS (MBBS),BC PH,1,Both
Andhra Pradesh,All India except Central University,"ACSR Government Medical College, OPP. TO AC SUBBA REDDY STADIUM DARGAMITTA NELLORE SPSR NELLORE DISTRICT, ANDHRA PRADESH (200446)",All India,MBBS (MBBS),EW NO,3,Both
Andhra Pradesh,All India except Central University,"ACSR Government Medical College, OPP. TO AC SUBBA REDDY STADIUM DARGAMITTA NELLORE SPSR NELLORE DISTRICT, ANDHRA PRADESH (200446)",All India,MBBS (MBBS),OP NO,11,Both
Seat Matrix for Round 1 NEET UG MBBS BDS & BSc Nursing,,,,,,,
Andhra Pradesh,All India except Central University,"ACSR Government Medical College, OPP. TO AC SUBBA REDDY STADIUM DARGAMITTA NELLORE SPSR NELLORE DISTRICT, ANDHRA PRADESH (200446)",All India,MBBS (MBBS),OP PH,1,Both
Andhra Pradesh,All India except Central University,"ACSR Government Medical College, OPP. TO AC SUBBA REDDY STADIUM DARGAMITTA NELLORE SPSR NELLORE DISTRICT, ANDHRA PRADESH (200446)",All India,MBBS (MBBS),SC NO,4,Both
Andhra Pradesh,All India except Central University,"ACSR Government Medical College, OPP. TO AC SUBBA REDDY STADIUM DARGAMITTA NELLORE SPSR NELLORE DISTRICT, ANDHRA PRADESH (200446)",All India,MBBS (MBBS),ST NO,3,Both
Andhra Pradesh,All India Institute Of Medical Science(AIIMS),"AIIMS Mangalagiri , ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI MANGALAGIRI GUNTUR (Dt) ANDHRA PRADESH (200510)",Open Seat Quota,MBBS (MBBS),BC NO,32,Both
Andhra Pradesh,All India Institute Of Medical Science(AIIMS),"AIIMS Mangalagiri , ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI MANGALAGIRI GUNTUR (Dt) ANDHRA PRADESH (200510)",Open Seat Quota,MBBS (MBBS),BC PH,2,Both
Andhra Pradesh,All India Institute Of Medical Science(AIIMS),"AIIMS Mangalagiri , ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI MANGALAGIRI GUNTUR (Dt) ANDHRA PRADESH (200510)",Open Seat Quota,MBBS (MBBS),EW NO,12,Both
Andhra Pradesh,All India Institute Of Medical Science(AIIMS),"AIIMS Mangalagiri , ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI MANGALAGIRI GUNTUR (Dt) ANDHRA PRADESH (200510)",Open Seat Quota,MBBS (MBBS),OP NO,48,Both
Andhra Pradesh,All India Institute Of Medical Science(AIIMS),"AIIMS Mangalagiri , ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI MANGALAGIRI GUNTUR (Dt) ANDHRA PRADESH (200510)",Open Seat Quota,MBBS (MBBS),OP PH,3,Both
Andhra Pradesh,All India Institute Of Medical Science(AIIMS),"AIIMS Mangalagiri , ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI MANGALAGIRI GUNTUR (Dt) ANDHRA PRADESH (200510)",Open Seat Quota,MBBS (MBBS),SC NO,18,Both
Seat Matrix for Round 1 NEET UG MBBS BDS & BSc Nursing,,,,,,,
Andhra Pradesh,All India Institute Of Medical Science(AIIMS),"AIIMS Mangalagiri , ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI MANGALAGIRI GUNTUR (Dt) ANDHRA PRADESH (200510)",Open Seat Quota,MBBS (MBBS),SC PH,1,Both
Andhra Pradesh,All India Institute Of Medical Science(AIIMS),"AIIMS Mangalagiri , ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI MANGALAGIRI GUNTUR (Dt) ANDHRA PRADESH (200510)",Open Seat Quota,MBBS (MBBS),ST NO,9,Both
Andhra Pradesh,All India except Central University,"Andhra Medical College, Visakhapatnam, MAHARANI PETA NEAR COLLECTORATE KGH CAMPUS VISAKHAPATNAM (200421)",All India,MBBS (MBBS),BC NO,10,Both
Andhra Pradesh,All India except Central University,"Andhra Medical College, Visakhapatnam, MAHARANI PETA NEAR COLLECTORATE KGH CAMPUS VISAKHAPATNAM (200421)",All India,MBBS (MBBS),EW NO,3,Both
Andhra Pradesh,All India except Central University,"Andhra Medical College, Visakhapatnam, MAHARANI PETA NEAR COLLECTORATE KGH CAMPUS VISAKHAPATNAM (200421)",All India,MBBS (MBBS),OP NO,16,Both
Andhra Pradesh,All India except Central University,"Andhra Medical College, Visakhapatnam, MAHARANI PETA NEAR COLLECTORATE KGH CAMPUS VISAKHAPATNAM (200421)",All India,MBBS (MBBS),SC NO,6,Both
Andhra Pradesh,All India except Central University,"Andhra Medical College, Visakhapatnam, MAHARANI PETA NEAR COLLECTORATE KGH CAMPUS VISAKHAPATNAM (200421)",All India,MBBS (MBBS),ST NO,2,Both
Andhra Pradesh,Deemed University,"GITAM Institute of Medical Sciences and Research, Visakhapatnam, Gandhi Institute of Technology and Management (GITAM), Rushikonda, Visakhapatnam (200324)",Non-Resident Indian,MBBS (MBBS),OP NO,23,Both
Andhra Pradesh,Deemed University,"GITAM Institute of Medical Sciences and Research, Visakhapatnam, Gandhi Institute of Technology and Management (GITAM), Rushikonda, Visakhapatnam (200324)",Self-Financed Merit Seat,MBBS (MBBS),OP NO,127,Both
Andhra Pradesh,All India except Central University,"Government Dental College and Hospital, Vijayawada, Government Dental College and Hospital, Machavaram Post, Vijayawada - 520004 (200452)",All India,BDS (BDS),BC NO,2,Both
Seat Matrix for Round 1 NEET UG MBBS BDS & BSc Nursing,,,,,,,
Andhra Pradesh,All India except Central University,"Government Dental College and Hospital, Vijayawada, Government Dental College and Hospital, Machavaram Post, Vijayawada - 520004 (200452)",All India,BDS (BDS),EW NO,1,Both
Andhra Pradesh,All India except Central University,"Government Dental College and Hospital, Vijayawada, Government Dental College and Hospital, Machavaram Post, Vijayawada - 520004 (200452)",All India,BDS (BDS),OP NO,1,Both
Andhra Pradesh,All India except Central University,"Government Dental College and Hospital, Vijayawada, Government Dental College and Hospital, Machavaram Post, Vijayawada - 520004 (200452)",All India,BDS (BDS),SC NO,1,Both
