sno,state,code,name,mgmt,renewed,increased,total
1,Karnataka,KA/001/P/3,"A J Institute of Medical Sciences & Research Centre, Mangalore",Private,250,0,250
2,Puducherry,PY/001/P/3,"Aarupadai Veedu Medical College, Pondicherry",Private,150,0,150
3,Chhattisgarh,CG/001/P/4,Abhishek Mishra Memorial Medical College & RC Bhiali Distt. Durg CG,Private,150,50,200
4,Jammu and Kashmir,JK/001/P/3,"Acharya Shri Chander College of Medical Sciences, Jammu",Private,150,0,150
5,Maharashtra,MH/001/P/3,"ACPM Medical College, Dhule",Private,100,0,100
6,Tamil Nadu,TN/001/P/3,"ACS Medical College and Hospital, Chennai",Private,250,0,250
7,Andhra Pradesh,AP/001/G/1,ACSR Government Medical College,Government,175,25,200
8,Punjab,PB/001/P/4,"Adesh Institute of Medical Sciences & Research, Bhatinda",Private,150,0,150
9,Haryana,HR/001/P/4,"Adesh Medical College and Hospital, Shahabad, Kurukshetra, Haryana",Private,250,0,250
10,Karnataka,KA/002/P/3,"Adichunchanagiri Institute of Medical Sciences, Bellur",Private,250,0,250
11,Tripura,TR/001/G/1,"Agartala Government Medical College,Agartala",Government,150,50,200
12,Uttar Pradesh,UP/001/P/4,Ajay Sangaal Institute of Medical Sciences and Ayushman Hospital Shamli (UP),Private,200,50,250
13,Karnataka,KA/003/P/3,"Akash Institute of Medical Sciences & Research Centre, Devanhalli, Bangalore, Karnataka",Private,250,0,250
14,Haryana,HR/002/P/3,"Al Falah School of Medical Sciences & Research Centre, Faridabad",Private,200,0,200
15,Karnataka,KA/004/P/3,"Al-Ameen Medical College, Bijapur",Private,150,0,150
16,Kerala,KL/001/P/3,"Al-Azhar Medical College and Super Speciality Hospital, Thodupuzha",Private,250,0,250
17,Andhra Pradesh,AP/002/P/4,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",Private,250,0,250
18,Karnataka,New Establishment,ALVA'S INSTITUTE OF MEDICAL SCIENCES AND RESEARCH CENTRE,Private,0,150,150
19,Kerala,KL/002/P/4,"Amala Institute of Medical Sciences, Thrissur",Private,100,0,100
20,Madhya Pradesh,MP/001/P/4,"Amaltas Institute of Medical Sciences, Dewas",Private,250,0,250
21,Rajasthan,RJ/001/P/5,"American International Institute of Medical Sciences, Bedwas",Private,150,0,150
22,Haryana,HR/003/P/3,Amrita School of Medicine,Private,150,0,150
23,Kerala,KL/003/P/3,"Amrita School of Medicine, Elamkara, Kochi",Private,149,0,149
24,Rajasthan,RJ/002/P/4,"Ananta Institute of Medical Sciences & Research Centre, Rajsamand",Private,150,50,200
25,Gujarat,GJ/002/P/3,"Ananya College of Medicine & Research, Kalol",Private,150,0,150
26,Andaman & Nicobar,AN/001/G/1,"Andaman & Nicobar Islands Institute of Medical Sciences, Port Blair",Government,114,0,114
27,Andhra Pradesh,AP/003/G/1,"Andhra Medical College, Visakhapatnam",Government,250,0,250
28,Andhra Pradesh,AP/004/P/3,Anna Gowri Medical College and Hospital,Private,150,0,150
29,Tamil Nadu,TN/003/P/3,"Annapoorna Medical College & Hospital, Salem",Private,150,0,150
30,Bihar,BR/001/G/1,"Anugrah Narayan Magadh Medical College, Gaya",Government,120,0,120
31,Andhra Pradesh,AP/005/P/4,"Apollo Institute of Medical Sciences and Research, Chittoor",Private,150,0,150
32,Telangana,TS/001/P/4,"Apollo Institute of Medical Sciences and Research, Hyderabad",Private,150,0,150
33,Tamil Nadu,New Establishment,APS MEDICAL COLLEGE HOSPITAL AND RESEARCH INSTITUTE,Private,0,150,150
34,Maharashtra,MH/002/G/1,"Armed Forces Medical College, Pune",Government,150,0,150
35,Delhi,DL/001/P/4,"Army College of Medical Sciences, New Delhi",Private,100,0,100
36,Tamil Nadu,TN/004/P/3,Arunai Medical College And Hospital,Private,200,0,200
37,Telangana,TS/002/P/4,"Arundathi Institute of Medical Sciences, Medchal",Private,150,0,150
38,Rajasthan,RJ/003/P/3,Arya Medical College and Hospital,Private,50,100,150
39,Maharashtra,MH/003/P/3,"Ashwini Rural Medical College, Hospital & Research Centre, Solapur",Private,150,0,150
40,Assam,AS/001/G/1,"Assam Medial College, Dibrugarh",Government,250,0,250
41,Delhi,DL/007/G/1,"Atal Bihari Vajpayee Institute of Medical Sciences and Dr. RML Hospital, New Delhi",Government,100,0,100
42,Uttar Pradesh,UP/003/G/5,Autonomous state medical college Amethi,Government,100,0,100
43,Uttar Pradesh,UP/005/G/5,Autonomous State Medical College and Hospital Gonda,Government,100,0,100
44,Uttar Pradesh,UP/006/G/1,Autonomous State Medical College and Hospital Kaushambi,Government,100,0,100
45,Uttar Pradesh,UP/007/G/5,Autonomous State Medical College and Hospital Lakhimpuri kheri,Government,100,0,100
46,Uttar Pradesh,UP/008/G/5,Autonomous State Medical College Kushinagar,Government,100,0,100
47,Uttar Pradesh,UP/009/G/1,Autonomous State Medical College Lalitpur,Government,100,0,100
48,Uttar Pradesh,UP/010/G/1,Autonomous State Medical College Pilibhit,Government,100,0,100
49,Uttar Pradesh,UP/011/G/1,Autonomous State Medical College Pratapgarh,Government,100,0,100
50,Uttar Pradesh,UP/012/G/1,Autonomous State Medical College Society Ghazipur,Government,100,0,100
51,Uttar Pradesh,UP/013/G/1,"Autonomous State Medical College Society, Etah, Uttar Pradesh",Government,100,0,100
52,Uttar Pradesh,UP/014/G/1,"Autonomous State Medical College Society, Fatehpur",Government,100,0,100
53,Uttar Pradesh,UP/015/G/1,"Autonomous State Medical College Society, Hardoi",Government,100,0,100
54,Uttar Pradesh,UP/002/G/1,Autonomous State Medical College Sultanpur,Government,100,0,100
55,Uttar Pradesh,UP/016/G/1,"Autonomous State Medical College, Akbarpur, Kanpur",Government,100,0,100
56,Uttar Pradesh,UP/017/G/1,"Autonomous State Medical College, Siddharthnagar",Government,100,0,100
57,Uttar Pradesh,UP/018/G/1,"Autonomous State Medical College, Sonebhadra",Government,100,0,100
58,Uttar Pradesh,UP/019/G/1,Autonomous State Society Medical College Mirzapur,Government,100,0,100
59,Telangana,TS/004/P/4,"Ayaan Institute of Medical Sciences, Teaching Hospital & Research Centre, Kanaka Mamidi, R.R. Dist",Private,150,0,150
60,Kerala,KL/004/P/3,"Azeezia Instt of Medical Science,Meeyannoor, Kollam",Private,100,50,150
61,Gujarat,GJ/003/G/1,"B J Medical College, Ahmedabad",Government,250,0,250
62,Maharashtra,MH/004/G/1,"B. J. Govt. Medical College, Pune",Government,250,0,250
63,Maharashtra,MH/005/P/3,"B.K.L. Walawalkar Rural Medical College, Ratnagiri",Private,150,0,150
64,Maharashtra,New Establishment,B.S.P. Medical College and Hospital,Private,0,150,150
65,Uttar Pradesh,UP/020/G/1,Baba Kina Ram Autonomous State Medical College and Hospital Chandauli,Government,100,0,100
66,Rajasthan,RJ/004/P/3,Balvir Singh Tomar Institute of Medical Sciences and Research,Private,150,100,250
67,Gujarat,GJ/004/P/3,"Banas Medical College and Research Institute, Palanpur, Gujarat",Private,200,0,200
68,Karnataka,KA/005/G/1,"Bangalore Medical College and Research Institute, Bangalore",Government,250,0,250
69,West Bengal,WB/001/G/1,"Bankura Sammilani Medical College, Bankura",Government,200,0,200
70,West Bengal,WB/002/G/1,Barasat Government Medical College & Hospital,Government,100,0,100
71,Karnataka,KA/006/P/4,"Basaveswara Medical College and Hospital, Chitradurga",Private,150,0,150
72,Karnataka,KA/007/G/1,"Belagavi Institute of Medical Sciences, Belagavi",Government,200,0,200
73,Kerala,KL/005/P/3,"Believers Church Medical College Hospital, Thiruvalla, Kerala",Private,100,0,100
74,Karnataka,KA/008/P/3,"BGS Global Institute of Medical Sciences, Bangalore",Private,150,100,250
75,Karnataka,KA/009/P/3,"BGS Medical College and Hospital Bengaluru, Karnataka",Private,250,0,250
76,Tamil Nadu,TN/005/P/3,Bhaarat Medical College & Hospital,Private,250,0,250
77,Bihar,BR/023/G/1,"Bhagwan Mahavir Institute of Medical Sciences, Pawapuri (formerly Vardhman Institute of Medical Sciences, Pawapuri, Nalanda)",Government,120,0,120
78,Gujarat,GJ/005/P/3,Bhagyoday Medical College,Private,100,0,100
79,Rajasthan,New Establishment,BHARAT VIKAS INSTITUTE OF MEDICAL SCIENCES,Private,0,150,150
80,Maharashtra,MH/006/P/3,"Bharati Vidyapeeth Deemed University Medical College & Hospital, Sangli",Private,250,0,250
81,Maharashtra,MH/007/P/3,"Bharati Vidyapeeth University Medical College, Pune",Private,250,0,250
82,Maharashtra,MH/008/P/3,"Bharatratna Atal Bihari Vajpayee Medical College, Pune",Private,100,0,100
83,Telangana,TS/005/P/4,"Bhaskar Medical College, Yenkapally",Private,150,50,200
84,Karnataka,KA/010/G/1,"Bidar Institute of Medical Sciences, Bidar",Government,200,0,200
85,Haryana,HR/004/G/1,"BPS Government Medical College for Women, Sonepat",Government,120,0,120
86,Uttar Pradesh,UP/021/G/1,"BRD Medical College, Gorakhpur",Government,150,0,150
87,Bihar,New Establishment,Buddha Hospital and Research Institute,Private,0,100,100
88,Madhya Pradesh,MP/002/G/1,"Bundelkhand Medical College, Sagar",Government,150,0,150
89,West Bengal,WB/003/G/1,"Burdwan Medical College, Burdwan",Government,200,0,200
90,West Bengal,WB/004/G/1,"Calcutta National Medical College, Kolkata",Government,250,0,250
91,Uttar Pradesh,UP/022/P/3,"Career Instt. Of Medical Sciences & Hospital, Lucknow",Private,150,0,150
92,Telangana,TS/006/P/4,"Chalmeda Anand Rao Institute Of Medical Sciences, Karimnagar",Private,200,0,200
93,Karnataka,KA/011/G/1,"Chamrajanagar Institute of Medical Sciences, Karnataka",Government,150,0,150
94,Chhattisgarh,CG/002/G/1,"Chandulal Chandrakar Memorial Medical College, Durg",Government,200,0,200
95,Tamil Nadu,TN/006/G/1,"Chengalpattu Medical College, Chengalpattu",Government,100,0,100
96,Tamil Nadu,TN/007/P/3,"Chettinad Hospital & Research Institute, Kanchipuram",Private,250,0,250
97,Karnataka,New Establishment,Chettinad Institute of Medical Education and Research,Private,0,100,100
98,Chhattisgarh,CG/003/G/1,"Chhattisgarh Institute of Medical Sciences, Bilaspur",Government,150,0,150
99,Karnataka,KA/013/G/1,"Chikkamagaluru Institute of Medical Sciences, Chikkamagaluru",Government,150,0,150
100,Madhya Pradesh,MP/003/P/4,"Chirayu Medical College and Hospital, Bairagarh, Bhopal",Private,250,0,250
101,Karnataka,KA/014/G/1,Chitradurga Medical College and Research Institute,Government,150,0,150
102,Punjab,PB/002/P/4,"Christian Medical College, Ludhiana",Private,100,0,100
103,Tamil Nadu,TN/008/P/4,"Christian Medical College, Vellore",Private,100,0,100
104,Telangana,TS/007/P/4,CMR Institute of Medical Science,Private,250,0,250
105,Tamil Nadu,TN/009/G/1,"Coimbatore Medical College, Coimbatore",Government,200,0,200
106,West Bengal,WB/005/G/1,"College of Medicine and JNM Hospital, Kalyani, Nadia",Government,150,0,150
107,West Bengal,WB/006/G/1,"College of Medicine and Sagore Dutta Hospital, Kolkata",Government,125,25,150
108,West Bengal,WB/007/G/1,"Coochbehar Government Medical College & Hospital, Coochbehar, WB",Government,150,0,150
109,Gujarat,GJ/006/P/3,"CU Shah Medical College, Surendra Nagar",Private,100,50,150
110,Bihar,BR/002/G/1,"Darbhanga Medical College, Lehriasarai",Government,120,30,150
111,Maharashtra,MH/009/P/3,"Datta Meghe Medical College, Nagpur",Private,250,0,250
112,Punjab,PB/003/P/3,"Dayanand Medical College & Hospital, Ludhiana",Private,150,0,150
113,Telangana,TS/008/P/3,Deccan College of Medical Sciences,Private,150,0,150
