Andaman & Nicobar|Andaman & Nicobar Islands Institute of Medical Sciences, Port Blair|114
Andhra Pradesh|ACSR Government Medical College|200
Andhra Pradesh|Andhra Medical College, Visakhapatnam|250
Andhra Pradesh|Government Medical College, Ananthapuram|200
Andhra Pradesh|Government Medical College, Eluru|150
Andhra Pradesh|Government Medical College, Kadapa|250
Andhra Pradesh|Government Medical College, Machilipatnam|150
Andhra Pradesh|Government Medical College, Nandyal|150
Andhra Pradesh|Government Medical College, Ongole|150
Andhra Pradesh|Government Medical College, Paderu|50
Andhra Pradesh|Government Medical College, Piduguralla|50
Andhra Pradesh|Government Medical College, Rajamahendravaram|150
Andhra Pradesh|Government medical college, vizianagaram|150
Andhra Pradesh|Government Siddhartha Medical College, Vijaywada|250
Andhra Pradesh|Guntur Medical College, Guntur|250
Andhra Pradesh|Kurnool Medical College, Kurnool|250
Andhra Pradesh|Rajiv Gandhi Institute of Medical Sciences, Srikakulam|200
Andhra Pradesh|Rangaraya Medical College, Kakinada|250
Andhra Pradesh|S V Medical College, Tirupati|240
Andhra Pradesh|SVIMS Sri Padmavathi Medical College for Women, Tirupati|175
Arunachal Pradesh|Tomo Riba Institute of Health & Medical Sciences, Naharlagun|100
Assam|Assam Medical College, Dibrugarh|250
Assam|Dhubri Medical College, Dhubri|100
Assam|Diphu Medical College & Hospital, Diphu|100
Assam|ESIC Medical College and Hospital, Beltola|50
Assam|Fakhruddin Ali Ahmed Medical College, Barpeta|125
Assam|Gauhati Medical College, Guwahati|250
Assam|Jorhat Medical College & Hospital, Jorhat|125
Assam|Kokrajhar Medical College|100
Assam|Lakhimpur Medical College|100
Assam|Nagaon Medical College|100
Assam|Nalbari Medical College, Nalbari|100
Assam|Pragjyotishpur Medical College|100
Assam|Silchar Medical College, Silchar|150
Assam|Tezpur Medical College & Hospital, Tezpur|125
Assam|Tinsukia Medical College|100
Bihar|Anugrah Narayan Magadh Medical College, Gaya|120
Bihar|Bhagwan Mahavir Institute of Medical Sciences, Pawapuri, Nalanda|120
Bihar|Darbhanga Medical College, Lehriasarai|150
Bihar|Employees State Insurance Corporation Medical College, Patna|100
Bihar|Government Medical College, Bettiah|120
Bihar|Government Medical College, Purnea|100
Bihar|Indira Gandhi Institute of Medical Sciences, Sheikhpura, Patna|150
Bihar|Jannayak Karpoori Thakur Medical College & Hospital, Madhepura|100
Bihar|Jawaharlal Nehru Medical College, Bhagalpur|150
Bihar|Nalanda Medical College, Patna|200
Bihar|Patna Medical College, Patna|250
Bihar|Shri Krishna Medical College, Muzzafarpur|150
Chandigarh|Government Medical College, Chandigarh|200
Chhattisgarh|Government Medical College Dantewada|50
Chhattisgarh|Government Medical College Janjgir Champa|50
Chhattisgarh|government medical college, jashpur-kunkuri|50
Chhattisgarh|Govt Medical College Kabeerdham|50
Chhattisgarh|Govt Medical College Manendragarh|50
Chhattisgarh|Chandulal Chandrakar Memorial Medical College, Durg|200
Chhattisgarh|Chhattisgarh Institute of Medical Sciences, Bilaspur|150
Chhattisgarh|Government Medical College, Rajnandgaon|125
Chhattisgarh|Government Medical College, Korba|125
Chhattisgarh|Government Medical College, Mahasamund|125
Chhattisgarh|Late Shri Baliram Kashyap Memorial NDMC Govt Medical College, Jagdalpur|150
Chhattisgarh|Late Shri Lakhi Ram Agrawal Memorial Govt Medical College, Raigarh|100
Chhattisgarh|Pt. J N M Medical College, Raipur|250
Chhattisgarh|Rajmata Shrimata Devendra Kumari Singhdeo Government Medical College, Ambikapur|125
Chhattisgarh|Shrimati Indira Gandhi Memorial Govt Medical College, Kanker|125
Dadar & Nagar Haveli|NAMO Medical Education and Research Institute, Silvassa|177
Delhi|Atal Bihari Vajpayee Institute of Medical Sciences and Dr. RML Hospital, New Delhi|100
Delhi|Dr. Baba Saheb Ambedkar Medical College, Rohini, Delhi|125
Delhi|ESIC Medical College & Hospital, Basaidarapur, New Delhi|50
Delhi|North Delhi Muncipal Corporation Medical College, Delhi|60
Delhi|University College of Medical Sciences & GTB Hospital, New Delhi|170
Goa|Goa Medical College, Panaji|250
Gujarat|B J Medical College, Ahmedabad|250
Gujarat|ESIC Medical College Naroda Bapunagar, Ahmedabad|50
Gujarat|GMERS Medical College, Dharpur Patan|200
Gujarat|GMERS Medical College, Gandhinagar|200
Gujarat|GMERS Medical College, Gotri, Vadodara|200
Gujarat|GMERS Medical College, Hadiyol, Himmatnagar|200
Gujarat|GMERS Medical College, Junagadh|200
Gujarat|GMERS Medical College, Navsari|100
Gujarat|GMERS Medical College, Rajpipla|100
Gujarat|GMERS Medical College, Sola, Ahmedabad|200
Gujarat|GMERS Medical College, Vadnagar, Mehsana|200
Gujarat|GMERS Medical College, Valsad|200
Gujarat|Government Medical College, Bhavnagar|200
Gujarat|Government Medical College, Morbi|100
Gujarat|Government Medical College, Panchmahal Godhra|100
Gujarat|Government Medical College, Porbandar|100
Gujarat|Government Medical College, Surat|250
Gujarat|Medical College, Baroda|250
Gujarat|MP Shah Medical College, Jamnagar|250
Gujarat|Narendra Modi Medical College, Ahmedabad|200
Gujarat|Pandit Deendayal Upadhyay Medical College, Rajkot|200
Gujarat|Smt. N.H.L. Municipal Medical College, Ahmedabad|250
Gujarat|Surat Municipal Institute of Medical Education & Research, Surat|250
Haryana|BPS Government Medical College for Women, Sonepat|120
Haryana|Employees State Insurance Corporation Medical College, Faridabad|150
Haryana|Kalpana Chawla Govt. Medical College, Karnal|120
